Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000187634,SAMD11,0.027065695439477965,0.9633688446918427,0.9478927433416123,0.04301953666091528,1.49973355924139,0.15796710867598973,0.010821336272566203,-1.3647740979247382,0.14836363624212381,0.02512356619236463,0.5522841322376237,0.8244891218984547
ENSG00000188976,NOC2L,0.44658397475138645,-0.3846302285370943,0.4810587585034974,0.5234043627078026,-0.1669462751726769,0.7072058461542043,0.6186197235817013,0.19343980303220165,0.48605379793687425,0.574252941539763,-0.023689585256277956,1
ENSG00000187961,KLHL17,0.05413139087895593,-0.14766246769690117,1,0.13622853275956504,1.1814167179064063,0.03372996038076658,0.061320905544541816,-0.43516342581613676,0.5257416421721894,0.06460345592322334,-0.15087875383784422,0.966942212806704
ENSG00000187583,PLEKHN1,0.040598543159216946,-0.10702048319955537,1,0.07169922776819213,0.5371004117058749,0.5865521575432018,0.06673157368082491,0.6163668748239459,0.3754015526337259,0.028712647076988153,-1.0433256126830406,0.18533400799153132
ENSG00000187642,PERM1,0,1.7003344388580484,1,0.007169922776819213,2.1074161364626303,0.5865521575432018,0.0018035560454277004,-0.757091520703498,0.851988411924507,0.003589080884623519,0.8742122271249855,1
ENSG00000188290,HES4,0.20299271579608474,-1.3657547515997237,0.002424606315968972,0.8388809648878479,0.8134704541011478,0.0003454936826221468,0.5428703696737378,0.10049143468064914,0.7782005212726089,0.4199224635009517,-0.4197334552364955,0.13621211053450186
ENSG00000187608,ISG15,0.7172409291461661,-1.3505219311301013,0.00000524347427963022,1.27624625427382,-0.5251120475105822,0.014098737718720354,2.2796948414206133,0.9553731116100931,0.0000000000000008002468199114004,1.245411066964361,-0.644776236192766,0.00003911156377160265
ENSG00000188157,AGRN,0.7172409291461661,-1.3497157310303909,0.0000052012999603320915,2.3517346707967017,0.4901729209332958,0.005609867646492238,1.9225907444259287,0.28730259865495467,0.058700386563432135,1.4140978685416665,-0.41496231617259777,0.01845603605337612
ENSG00000131591,C1orf159,0.06766423859869491,-0.5475930745855369,0.7173769152492917,0.12188868720592662,0.18987829665460243,0.9169125716235597,0.11903469899822823,0.16603971591223043,0.8642746981605564,0.10767242653870557,-0.062362392733379846,1
ENSG00000162571,TTLL10,0.013532847719738983,1.8929795168004446,0.6267571559683209,0.014339845553638425,1.6923786371837863,0.4680756787564436,0.0054106681362831015,-0.4940571148697046,0.9586938749680481,0.003589080884623519,-0.3481801942114622,1
ENSG00000186891,TNFRSF18,0.027065695439477965,-0.20655615675046946,1,0.03584961388409606,-0.11497628487381828,1,0.05049956927197561,0.4379244617016438,0.6447579740606324,0.03947988973085871,-0.12578777287501364,0.9868979656605742
ENSG00000186827,TNFRSF4,0.05413139087895593,-0.7721533326046948,0.5537191742527797,0.15773830109002268,0.6767817821327675,0.30644158257827253,0.12624892317993902,0.4857650031926646,0.3944519070333622,0.06460345592322334,-0.8928106008973997,0.1695543629746297
ENSG00000078808,SDF4,2.6118396099096235,-0.35214958043250144,0.2965292883613333,2.896648801834962,-0.20043211672186434,0.4218518773635258,3.4267564863126307,0.1581713724451368,0.3484805602770776,3.2804199285458964,0.010244899409589836,1
ENSG00000176022,B3GALT6,0.25712410667504065,-0.25386187152882633,0.8186764370342985,0.3800059071714183,0.33874168256908543,0.4010731154467061,0.3102116398135645,-0.03212154123724509,1,0.3014827943083756,-0.06807227501872659,1
ENSG00000184163,C1QTNF12,0.013532847719738983,0.24090282022075193,1,0.014339845553638425,-0.11497628487381828,0.9523565408562246,0.023446228590560104,0.3132978071878991,0.8953780366058764,0.021534485307741113,0.17906680865340707,1
ENSG00000160087,UBE2J2,0.2435912589553017,-0.9221027672817703,0.05239587006252183,0.3441562932873222,-0.4676985783021794,0.18010675888941827,0.5013885806289007,0.2515525737057527,0.342541258891953,0.5060604047319162,0.1784692956852929,0.6784116140981336
ENSG00000162572,SCNN1D,0.040598543159216946,-0.20655615675046946,1,0.1147187644291074,1.2252526267564878,0.04195449609606635,0.05230312531740331,-0.3527012656241637,0.714795163590243,0.05024713238472926,-0.24864452066054765,0.8952962916145861
ENSG00000131584,ACAP3,0.5413139087895593,-0.9078978411859545,0.01048778686374676,1.075488416522882,0.1331218506551047,0.6645340470386674,1.0099913854395122,0.05283734501793173,0.9014982080974125,1.0372443756561969,0.08641472034680497,0.8692607522515071
ENSG00000169972,PUSL1,0.16239417263686778,-0.5879105297730247,0.38416076081205697,0.2222676060813956,-0.1841383093812139,0.803487541405839,0.26512273867787195,0.14250658233866376,0.7608077495766543,0.2691810663467639,0.1296734132539792,0.8952962916145861
ENSG00000127054,INTS11,0.8525694063435559,-0.513984681942717,0.16512271147387086,1.3192657909347352,0.16441563687567318,0.5266398512554729,1.1939541020731377,-0.001387783700215528,1,1.22387658165662,0.04730450764598154,0.966942212806704
ENSG00000224051,CPTP,0.3924525838724305,0.23218560311964276,0.7789871225716034,0.30830667940322615,-0.16107269946327252,0.8176506898999303,0.3480863167675462,0.0354663994260247,1,0.3409626840392343,-0.011145206933891094,1
ENSG00000169962,TAS1R3,0,2.7003344388580484,1,0,1.6923786371837863,1,0.0018035560454277004,0.8278709800176571,1,0,0.45917472784614155,1
