Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000187634,SAMD11,0.015409674889349773,-1.8038704051847771,0.055501856904697514,0.024905803724344613,0.8353956675054102,0.9644652645966946,0.08676620291822193,2.5750542091194633,0.0284893351375023
ENSG00000188976,NOC2L,0.606480776002266,0.5151204066230318,0.0885291138111422,0.4358515651760307,-0.4251318827178092,0.41921333483546164,0.3991245334238209,-0.5346996427402495,0.34586513816648223
ENSG00000187961,KLHL17,0.06934353700207398,-0.41120071893438803,0.7333509854603819,0.03735870558651692,-0.6174632972084009,0.7135992845278082,0.15617916525279948,1.3333934540782364,0.09795754325802396
ENSG00000187583,PLEKHN1,0.05503455317624919,-0.20826066026411283,1,0.03735870558651692,-0.2349936603859879,0.9300949987420636,0.08676620291822193,0.9076295482063341,0.5097521517259501
ENSG00000187642,PERM1,0.003302073190574951,-0.7107610007932958,1,0,1.5723612616716158,1,0,2.0775545496486467,1
ENSG00000188290,HES4,0.4975123607132927,-0.5167503808266706,0.039744457418513915,0.27396384096779075,-0.951200694385397,0.026906399461437826,1.3188462843569735,1.4525573871252377,0.0000002541479744396254
ENSG00000187608,ISG15,1.909698995215847,1.2959027294877146,0.0000000002073083603535815,0.7845328173168553,-1.2253002641821442,0.000014112275171620261,0.763542585680353,-1.2435718252731611,0.0002552791389749246
ENSG00000188157,AGRN,1.7952271246092486,0.2405651524710143,0.3429939114921973,0.7969857191790276,-1.2013105341296997,0.000020528328126721673,2.5335731252120803,0.5493064399218117,0.03536858946818358
ENSG00000131591,C1orf159,0.11227048847954835,-0.11172331486041731,1,0.09962321489737845,-0.052129603236177324,1,0.13882592466915508,0.4530636847408531,0.7370261307313013
ENSG00000162571,TTLL10,0.0044027642540999355,-2.3888329059059332,0.2323116746712433,0.012452901862172306,1.765006339614012,0.6677947254350222,0.03470648116728877,3.0775545496486467,0.2352409721466877
ENSG00000186891,TNFRSF18,0.04622902466804932,0.39357565902143943,0.7478465632779273,0.03735870558651692,0.11292964303431852,1,0.017353240583644385,-0.44600740640836545,0.7977705551566877
ENSG00000186827,TNFRSF4,0.10676703316192343,-0.26597615812040054,0.7873665143955769,0.06226450931086153,-0.6240359511318871,0.6879595966340879,0.20823888700373264,1.0914937406065204,0.1691983416000708
ENSG00000078808,SDF4,3.3582084348147254,0.36892321915406323,0.0635350220968909,2.565297783607495,-0.38071049098360676,0.21643043044076896,2.6723990498812356,-0.31609193360263355,0.45831941868292847
ENSG00000176022,B3GALT6,0.3070928067234705,-0.22533417362305452,0.6156398432306528,0.2615109391056184,-0.23499366038598812,0.8375841848098412,0.48589073634204283,0.7019158680165167,0.13606997320012978
ENSG00000184163,C1QTNF12,0.020913130206974693,-0.3888329059059332,1,0.012452901862172306,0.11292964303431852,1,0.03470648116728877,1.270199627591043,0.610120761433791
ENSG00000160087,UBE2J2,0.4975123607132927,1.0251433980025995,0.000985714644992153,0.2366051353812738,-0.9729893831506835,0.03543632689310779,0.24294536817102141,-0.8981979041046761,0.10434036922155275
ENSG00000162572,SCNN1D,0.04953109785862427,-1.3571240461785958,0.01402156999225962,0.03735870558651692,-0.334529333936902,0.9311710130847018,0.24294536817102141,2.369735301141957,0.0001619526002217123
ENSG00000131584,ACAP3,1.0390523639675846,0.5884470175939829,0.01583066633541945,0.5354747800734092,-0.9296568140892827,0.0057180503142743085,0.9023685103495082,-0.14289222737283197,0.9426557046118986
ENSG00000169972,PUSL1,0.2586623999283712,0.21768573818166992,0.7373162062392146,0.16188772420824,-0.6032773909650901,0.36819733401330784,0.29500508992195457,0.28747761902287805,0.8111524080503942
ENSG00000127054,INTS11,1.2107601698774821,0.15543301344599403,0.6606020582125264,0.8717031303520614,-0.48368486822085943,0.1846068523266755,1.3882592466915509,0.2238791920320564,0.5553700160345724
ENSG00000224051,CPTP,0.33791215650217005,-0.19886196226186348,0.6440815115113642,0.3984928595895138,0.2548116072948281,0.7483553224065186,0.3644180522565321,0.1275952321482423,1
ENSG00000169962,TAS1R3,0.0011006910635249839,-1.710761000793295,1,0,2.572361261671616,1,0,3.0775545496486467,1
ENSG00000107404,DVL1,0.9333860218691863,0.4338972420385865,0.6843951656840063,0.6600037986951323,-0.47203285768683767,0.9254935740188582,0.7288361045130642,-0.31316431890463636,1
ENSG00000162576,MXRA8,0.13758638294062298,-2.405906419264875,0.00000000000000000000005313302238585834,0.2615109391056184,0.34529235312569484,0.6747059561556003,1.3882592466915509,3.217732207696907,0.000000000000000000000000000020999840723103666
ENSG00000175756,AURKAIP1,2.0869102564433692,0.35856400020299184,0.10308668259906739,1.5939714383580552,-0.3778611773033259,0.2685451341415442,1.6832643366135056,-0.2914417988954946,0.5453766648039741
ENSG00000221978,CCNL2,1.9074976130887968,-0.5016196029547042,0.0030013241906721587,2.0049171998097415,-0.014825904164054049,1,3.6962402443162543,0.9310394029913396,0.00004101694426799373
ENSG00000235098,ANKRD65,0.07264561019264892,0.18540318822216362,0.928463039731027,0.012452901862172306,-1.6370921039573334,0.18029085309449988,0.12147268408551071,0.9900917083983072,0.32890336046133295
ENSG00000205116,TMEM88B,0.08915597614552369,0.8394360817671838,0.27740014450989264,0.024905803724344613,-1.2689409923093256,0.2362698070455619,0.06941296233457754,0.007165221757248652,1
