Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000187634,SAMD11,0.07692989536162428,0.8093291414583144,0.9582388166558651,0.02270065141693556,-0.8093291414583144,0.9582388166558651
ENSG00000188976,NOC2L,0.28238900614449886,-0.8508675066205444,0.40842828903544576,0.4994143311725823,0.8508675066205444,0.40842828903544576
ENSG00000187961,KLHL17,0.04597030332584866,-0.5068166008350414,1,0.04540130283387112,0.5068166008350414,1
ENSG00000187583,PLEKHN1,0.012196202923184338,-2.343317868552162,0.604261857904434,0.04540130283387112,2.343317868552162,0.604261857904434
ENSG00000187642,PERM1,0.0037526778225182573,-2.2437821950012484,1,0,2.2437821950012484,1
ENSG00000188290,HES4,0.20733544969413373,-0.6781850191470229,0.6765609477649656,0.31780911983709786,0.6781850191470229,0.6765609477649609
ENSG00000187608,ISG15,0.6520277716625472,-0.5150842168186421,0.5245919635872084,0.930726708094358,0.5150842168186421,0.5245919635872084
ENSG00000188157,AGRN,0.6492132632956585,-0.1733928671098498,1,0.726420845341938,0.1733928671098498,1
ENSG00000131591,C1orf159,0.07223904808347646,-1.087662993083966,0.6705443182815038,0.13620390850161335,1.087662993083966,0.6705443182815038
ENSG00000162571,TTLL10,0.0018763389112591287,-2.980747789167455,1,0,2.980747789167455,1
ENSG00000186891,TNFRSF18,0.012196202923184338,-3.080283462718368,0.10880118719059524,0.09080260566774224,3.080283462718368,0.10880118719059524
ENSG00000186827,TNFRSF4,0.04503213387021909,-1.9510004457734023,0.1471650858756117,0.15890455991854893,1.9510004457734023,0.1471650858756117
ENSG00000078808,SDF4,1.899793147649868,-0.16625433180862825,0.9641408623060472,2.156561884608878,0.16625433180862825,0.9641408623060472
ENSG00000176022,B3GALT6,0.2523675835643528,-0.5763575340881189,0.7601144720758202,0.363210422670969,0.5763575340881189,0.7601144720758202
ENSG00000184163,C1QTNF12,0.004690847278147822,-1.980747789167454,1,0,1.980747789167454,1
ENSG00000160087,UBE2J2,0.33305015674849536,-0.33790437236579773,0.9923173463426312,0.4086117255048401,0.33790437236579773,0.9923173463426308
ENSG00000162572,SCNN1D,0.12665287650999119,-0.0632099493594267,1,0.1135032570846778,0.0632099493594267,1
ENSG00000131584,ACAP3,0.42499076340019265,-0.19859342123499224,1,0.47671367975564677,0.19859342123499224,1
ENSG00000169972,PUSL1,0.07880623427288341,-1.4782474486382706,0.2262781419595629,0.20430586275242005,1.4782474486382706,0.2262781419595629
ENSG00000127054,INTS11,0.6989362444440255,-0.3080806884956208,0.8412284084496471,0.8626247538435513,0.3080806884956208,0.8412284084496471
ENSG00000224051,CPTP,0.2758218199550919,0.05389835363943707,1,0.24970716558629116,-0.05389835363943707,1
ENSG00000107404,DVL1,0.42499076340019265,0.1733753561519653,1,0.363210422670969,-0.1733753561519653,1
ENSG00000162576,MXRA8,0.36119524041738227,-1.36557067539929,0.0034645507075895957,0.930726708094358,1.36557067539929,0.0034645507075895957
ENSG00000175756,AURKAIP1,1.4325847587463447,0.10482794253862004,1,1.339338433599198,-0.10482794253862004,1
ENSG00000221978,CCNL2,2.2197089320195493,-0.4653907559321646,0.3628585941265047,3.1099892441201717,0.4653907559321646,0.3628585941265047
ENSG00000235098,ANKRD65,0.01501071129007303,-0.47824744863827107,1,0,0.47824744863827107,1
ENSG00000205116,TMEM88B,0.0028145083668886933,-2.565710289888611,1,0,2.565710289888611,1
ENSG00000179403,VWA1,0.6004284516029212,-0.41145474471218124,0.8561267611673581,0.7945227995927446,0.41145474471218124,0.8561267611673579
ENSG00000215915,ATAD3C,0.03752677822518258,0.7918417147294736,0.9621243884114201,0,-0.7918417147294736,0.9621243884114201
ENSG00000205090,TMEM240,0.021577897479479982,-1.5657102898886097,0.8218869975769646,0.04540130283387112,1.5657102898886097,0.8218869975769639
ENSG00000160075,SSU72,0.697998074988396,0.1680314034033098,1,0.6129175882572602,-0.1680314034033098,1
ENSG00000228594,FNDC10,0.020639728023850418,-1.042148333831598,1,0.02270065141693556,1.042148333831598,1
ENSG00000197530,MIB2,0.45688852489159787,-0.21993545304688011,1,0.5221149825895178,0.21993545304688011,1
ENSG00000189409,MMP23B,0.08631158991791993,-1.0265514787805787,0.6209304923470476,0.15890455991854893,1.0265514787805787,0.6209304923470476
ENSG00000248333,CDK11B,0.20170643296035634,-0.2702544063624388,1,0.2270065141693556,0.2702544063624388,1
ENSG00000189339,SLC35E2B,0.42499076340019265,-0.43960152073878744,0.7821378197010952,0.567516285423389,0.43960152073878744,0.7821378197010952
ENSG00000215790,SLC35E2A,0.17637585765835812,-0.7039075838086295,0.6973701806858784,0.2724078170032267,0.7039075838086295,0.6973701806858784
ENSG00000008130,NADK,0.4118563910213788,-0.10627867125131307,1,0.43131237692177565,0.10627867125131307,1
ENSG00000078369,GNB1,1.5517322796112996,0.060816021348197635,1,1.498242993517747,-0.060816021348197635,1
ENSG00000169885,CALML6,0.01688705020133216,-0.31778277644502495,1,0,0.31778277644502495,1
ENSG00000178821,TMEM52,0.02814508366888693,-1.1964764802228909,0.9207965268550992,0.04540130283387112,1.1964764802228909,0.9207965268550992
ENSG00000142609,CFAP74,0.004690847278147822,-1.980747789167454,1,0,1.980747789167454,1
ENSG00000187730,GABRD,0.007505355645036515,-2.9807477891674536,0.4459684581099435,0.04540130283387112,2.9807477891674536,0.4459684581099433
