Feature,Normalized.Dispersion
ENSG00000187634,-0.4700956393264863
ENSG00000188976,0.5929269463466998
ENSG00000187961,2.4927311538554715
ENSG00000187583,-0.2838996951605907
ENSG00000187642,0.2793815297715613
ENSG00000188290,-1.108818938494385
ENSG00000187608,-0.6847410383081762
ENSG00000188157,0.47515051558892873
ENSG00000131591,4.801590195688258
ENSG00000162571,33.904715568927465
ENSG00000186891,1.100074909499067
ENSG00000186827,5.9014187121454995
ENSG00000078808,-0.8178137295845018
ENSG00000176022,-0.21525437844783682
ENSG00000184163,-0.8677610869758707
ENSG00000160087,-1.3594754540567078
ENSG00000162572,1.2889806285036651
ENSG00000131584,-0.0960106797044998
ENSG00000169972,-0.3525933676771656
ENSG00000127054,-0.32558260553634555
ENSG00000224051,-1.3737915804157899
ENSG00000169962,NaN
ENSG00000107404,48.155968015225056
ENSG00000162576,2.320778127809582
ENSG00000175756,-0.9632102369028523
ENSG00000221978,1.0104694173955964
ENSG00000235098,-1.497184732511339
ENSG00000205116,-1.3556113656737696
ENSG00000179403,2.1943356120824973
ENSG00000215915,-1.2257356374040425
ENSG00000205090,-1.0987199108713066
ENSG00000160075,-1.2187393539178353
ENSG00000228594,-0.7878653875473068
ENSG00000197530,-0.5363582651492967
ENSG00000189409,-0.14183558417103403
ENSG00000248333,-1.031805946031292
ENSG00000189339,-1.1815721698874804
ENSG00000215790,-1.0181413932438375
ENSG00000008130,-0.7637913389565658
ENSG00000078369,-1.0467403538422744
ENSG00000169885,-1.0215387539050163
ENSG00000178821,-1.6510296495609447
ENSG00000142609,NaN
ENSG00000187730,-1.4276633174986766
ENSG00000067606,0.537411139704703
ENSG00000162585,-1.2497515709837308
ENSG00000157933,-0.17724768608051805
ENSG00000116151,7.592802532177127
ENSG00000157916,-1
ENSG00000157911,0.20070786062434662
ENSG00000149527,5.372541865249368
ENSG00000157881,0.7357693174410004
ENSG00000197921,NaN
ENSG00000157873,-0.140765121070076
ENSG00000157870,0.5379637899270096
ENSG00000142606,NaN
ENSG00000215912,NaN
ENSG00000142611,0.218787454072604
ENSG00000130762,-1.0437186599427108
ENSG00000162591,1.474159319419092
ENSG00000158109,0.27337556470182167
ENSG00000116213,-0.530995977059366
ENSG00000078900,0.8358846013357726
ENSG00000235169,-1.5069017520145842
ENSG00000130764,0.08733761153975401
ENSG00000116198,-0.7164773247375786
ENSG00000169598,-0.13842035769845296
ENSG00000198912,-0.2781717073418704
ENSG00000196581,-0.005603019413225998
ENSG00000131697,1.483664288043022
ENSG00000069424,0.23999589792507028
ENSG00000116254,-1.7927963539764655
ENSG00000158286,-0.9763155096335805
ENSG00000116237,1.8998729847531375
ENSG00000173673,NaN
ENSG00000158292,38.64944365829649
ENSG00000097021,-1.4588734182866687
ENSG00000069812,-0.9103614878468214
ENSG00000187017,-1.5158071357752716
ENSG00000215788,26.12597576243479
ENSG00000171680,-0.6596050549471534
ENSG00000162408,-1.6368491549378286
ENSG00000204859,0.15553773427751622
ENSG00000162413,0.05212424144972851
ENSG00000116273,4.82528114289957
ENSG00000041988,2.5334904056941165
ENSG00000007923,3.2408348823952533
ENSG00000171735,-0.6971123815667016
ENSG00000049245,2.3371090051820076
ENSG00000049246,11.247511805630639
ENSG00000049247,-1.1838544244049558
ENSG00000049249,0.4670799324328657
ENSG00000116288,-0.6348773580871638
ENSG00000116285,1.724385445611993
ENSG00000162426,-0.2631423806243733
ENSG00000142599,7.920124120621013
ENSG00000074800,-1.502415685082438
ENSG00000131686,-2.277024178292961
ENSG00000197241,NaN
ENSG00000142583,-0.18412244338306427
ENSG00000180758,-0.5367733166677163
ENSG00000049239,1.4551647872054123
ENSG00000171621,5.458142863639398
ENSG00000171612,-1.457000558012841
ENSG00000188807,6.359461790195795
ENSG00000171608,14.348392091196564
ENSG00000171603,-1.3339858713222479
ENSG00000178585,-1.67716255065839
ENSG00000162441,0.4861761447557202
ENSG00000173614,-0.5946283703872925
ENSG00000162444,-1.079897470482095
ENSG00000130939,-1.5725841719177405
ENSG00000054523,1.4607178185152117
ENSG00000142657,-0.9721903757970903
ENSG00000175279,0.5435140866815289
ENSG00000241563,1.3707575237821374
ENSG00000160049,-0.7863523316156346
ENSG00000142655,6.3814434514388685
ENSG00000130940,-0.2823179292710409
ENSG00000175262,1.648813700377878
ENSG00000009724,-0.511990761994763
ENSG00000116649,-1.4355456075663806
ENSG00000171824,-0.97446256279385
ENSG00000198793,-1.0650441504897237
ENSG00000120942,-0.6216218252504528
ENSG00000204624,1.5529748533686114
ENSG00000116661,-0.4178955166690615
ENSG00000132879,0.30999927996192983
ENSG00000116663,-1.5125592080055827
ENSG00000116670,-0.7235116711329577
ENSG00000177674,-0.04243463047689901
ENSG00000215910,NaN
ENSG00000177000,-0.5769286681395561
ENSG00000011021,3.3230204809551847
ENSG00000175206,NaN
ENSG00000120937,2.1293680274616253
ENSG00000083444,-1.1616032823854596
ENSG00000116688,-0.24287669969390757
ENSG00000116691,-0.8075195067826523
ENSG00000120949,0.6446036861131809
ENSG00000028137,-0.6473832509839972
ENSG00000048707,-1.3528513093218946
ENSG00000162496,-0.6047558727235297
ENSG00000204518,0.22267961228385505
ENSG00000188984,NaN
ENSG00000179172,1.841394108520601
ENSG00000120952,NaN
ENSG00000243073,NaN
ENSG00000277058,NaN
ENSG00000237700,NaN
ENSG00000204480,NaN
ENSG00000204479,0.9623264361990322
ENSG00000162493,-0.033838392371885094
ENSG00000116731,0.4653631812991682
ENSG00000189337,-0.3016526894831318
ENSG00000171729,0.38814222450661207
ENSG00000142621,0.8101535241397593
ENSG00000142634,-0.8936921943334215
ENSG00000162438,-0.5855705557515712
ENSG00000132906,-1.422830145632278
ENSG00000116138,-0.04215021170459157
ENSG00000116771,-0.9413725223182239
ENSG00000197312,-1.4903031215703304
ENSG00000116786,-0.7920097393623394
ENSG00000162461,6.491829466282064
ENSG00000162460,0.7381756158425968
ENSG00000162458,1.7011506333258686
ENSG00000233954,-0.19017988266893948
ENSG00000065526,4.683447738219201
ENSG00000116809,-0.16329928814699943
ENSG00000183888,0.8801137052139532
ENSG00000173641,2.098215710214393
ENSG00000186510,29.766863576116744
ENSG00000184908,NaN
ENSG00000185519,-0.8604845441450939
ENSG00000142627,-0.20710399018872558
ENSG00000142632,1.1196721076508054
ENSG00000132881,-0.8769953269160856
ENSG00000037637,43.78061540019092
ENSG00000055070,1.0135102897476516
ENSG00000187144,0.7003057981861556
ENSG00000157191,-0.21426872405344097
ENSG00000219481,0.7067806510389557
ENSG00000058453,1.1493947408497618
ENSG00000117122,1.7229738067023452
ENSG00000159363,-0.3203921517487686
ENSG00000117118,-1.2728523238138165
ENSG00000117115,1.034744007887298
ENSG00000142619,NaN
ENSG00000179051,2.081808267765111
ENSG00000074964,1.2550042207820382
ENSG00000117148,0.9836676914257736
ENSG00000117154,-0.715158819685703
ENSG00000179023,-0.13291498694718912
ENSG00000009709,NaN
ENSG00000179002,-3.338549935383977
ENSG00000159423,1.4412308355789385
ENSG00000169991,-1.48038867777035
ENSG00000127481,0.7379301256339681
ENSG00000127463,2.6134379115498185
ENSG00000053372,0
ENSG00000162482,3.372944467141328
ENSG00000040487,-0.7051387023513284
ENSG00000077549,-0.7443795696924403
ENSG00000173436,0.5794146351407253
ENSG00000158747,8.633180689025473
ENSG00000158748,NaN
ENSG00000162542,3.7770206758814324
ENSG00000178828,-1.6329033303108225
ENSG00000169914,-0.9334112425906098
ENSG00000188784,-0.3794735764629492
ENSG00000188257,1.17896826880787
ENSG00000127472,27.81806164733568
ENSG00000117215,5.83673670458578
ENSG00000158786,-1.5232864368949164
ENSG00000187980,NaN
ENSG00000162543,-1.5153697530490684
ENSG00000162545,2.7835694337066412
ENSG00000090432,8.270512863962795
ENSG00000183114,-0.2671545345558387
ENSG00000158825,-1.2355925960934804
ENSG00000158828,-0.13559280491637266
ENSG00000244038,-0.8041624231145389
ENSG00000117245,-0.14825431382785786
ENSG00000189410,-0.7193888008868542
ENSG00000127483,1.9052336107549281
ENSG00000075151,3.7789353576319136
ENSG00000117298,-0.5480132738052548
ENSG00000162551,2.0900101548344656
ENSG00000076864,-0.5869267175238997
ENSG00000090686,-1.3236504690901931
ENSG00000142798,1.2409414786020616
ENSG00000162552,0.41896219396580264
ENSG00000184677,1.723930594263102
ENSG00000070886,-0.6652786867193352
ENSG00000173372,0.5264995622422457
ENSG00000159189,1.4091972068664051
ENSG00000173369,0.9308770613615339
ENSG00000133216,-0.17192511400673116
ENSG00000227868,-2.3877688608915704
ENSG00000004487,0.3907660973938152
ENSG00000169641,-0.37657065257822986
ENSG00000179546,-1.5588768400504385
ENSG00000125944,-0.0013349693972990854
ENSG00000125945,1.3122003301659548
ENSG00000204219,0.9341145203930143
ENSG00000088280,1.4427577177311823
ENSG00000007968,-0.8448299387365146
ENSG00000117318,-1.06461480489066
ENSG00000011007,4.295935011301713
ENSG00000057757,-1.602704421352547
ENSG00000011009,0.23958500402582875
ENSG00000117308,3.148736564285009
ENSG00000117305,-1.1590453786822656
ENSG00000188822,NaN
ENSG00000189266,0.22351321079991646
ENSG00000188529,1.9997270468003514
ENSG00000142661,-0.022349501604864406
ENSG00000142677,-1.7728641689757525
ENSG00000185436,13.415546559106382
ENSG00000158055,0.22128203260273951
ENSG00000001460,-0.3923344029802013
ENSG00000001461,0.8285386143984755
ENSG00000117602,1.3060312847125821
ENSG00000184454,-0.16841247441397794
ENSG00000133226,0.0751729070364338
ENSG00000169504,-0.60013801397537
ENSG00000020633,2.5554525908959023
ENSG00000117614,-1.3388672009442957
ENSG00000117616,-0.010086751594263654
ENSG00000187010,1.1564102500046591
ENSG00000183726,-0.20374086082858675
ENSG00000204178,-1.623498328729935
ENSG00000157978,-1.3717103521757068
ENSG00000117643,1.4679871248725385
ENSG00000162430,0.13146720804113463
ENSG00000117640,-0.34133919500749854
