Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000187634,SAMD11,0.015408133911911917,-1.804958379563308,0.05522131170943058,0,0.9008370756546027,1,0.03235480197393395,1.2349142940662183,0.6281229983037065,0.0959582692235524,2.7257468855183618,0.020739655830238762
ENSG00000188976,NOC2L,0.6053195465393968,0.48716893779081194,0.10772236309835455,0.6689740501120078,0.23341241474147356,1,0.37208022270024044,-0.6403743041564712,0.18696248225964548,0.3838330768942096,-0.5840064954228977,0.3171515615026092
ENSG00000187961,KLHL17,0.06933660260360362,-0.41228869331291973,0.7333118745959155,0.04181087813200049,0.13145000379601912,1,0.04853220296090093,-0.21794467064759226,1,0.15353323075768385,1.3107093862395183,0.13049314459067146
ENSG00000187583,PLEKHN1,0.055029049685399706,-0.20934863464264408,1,0.04181087813200049,0.5022876991643277,1,0.03235480197393395,-0.2760476252111612,1,0.0959582692235524,1.0583222246052326,0.46131321167630696
ENSG00000187642,PERM1,0.0033017429811239823,-0.7118489751718267,1,0,3.3602686942919,1,0,1.971879888232424,1,0,2.2282472260475448,1
ENSG00000188290,HES4,0.49856319014972134,-0.5000103319961205,0.0505836323410258,0.5435414157160064,0.09616125379287976,1,0.16177400986966975,-1.6481732769570936,0.0008027299266027378,1.4201823845085755,1.5592204605379147,0.00000005053353478246534
ENSG00000187608,ISG15,1.9128097670644937,1.3379477244686373,0.00000000006291101305094611,1.3797589783560162,-0.3740424464283284,1,0.5823864355308112,-1.638047537003225,0.0000006386526845729993,0.6717078845648669,-1.42200673492533,0.00008621029925380844
ENSG00000188157,AGRN,1.7928464387503225,0.2240976537207744,0.39718494470800486,1.7560568815440207,-0.02724774222303905,1,0.5338542325699102,-1.7616339631384768,0.00000011973877487925237,2.6292565767253357,0.6012156589141795,0.0259985899750433
ENSG00000131591,C1orf159,0.1122592613582154,-0.11281128923894812,1,0.20905439066000245,1.1123411808483148,1,0.04853220296090093,-0.8861011068951474,0.43786014478517676,0.15353323075768385,0.6037563611397521,0.6036956454261777
ENSG00000162571,TTLL10,0.004402323974831976,-2.389920880284465,0.2323289244585673,0.04181087813200049,3.552913772234296,1,0,0.971879888232424,1,0.03838330768942096,3.2282472260475448,0.21648611019988556
ENSG00000186891,TNFRSF18,0.04622440173573575,0.3924876846429086,0.7483187394835392,0.12543263439600147,1.9008370756546022,1,0,-1.5827089634452127,0.2864815581260778,0.01919165384471048,-0.2953147300094674,0.9865940483154648
ENSG00000186827,TNFRSF4,0.10785693738338342,-0.16995519634255674,0.9196151848098352,0.16724351252800196,0.8877809228291564,1,0.016177400986966975,-1.8610101259323173,0.12644799026685563,0.2111081922918153,1.112770008627609,0.1876205136502333
ENSG00000078808,SDF4,3.35787261180309,0.3678352447755322,0.06499245944251268,3.0103832255040355,-0.15553913418949739,1,2.4104327470580795,-0.4712846933635586,0.14779790048088998,2.667639884414757,-0.31886764405225154,0.49068820330631424
ENSG00000176022,B3GALT6,0.3070620972445304,-0.22642214800158555,0.6159433147820277,0.4599196594520054,0.6323482397287008,1,0.17795141085663674,-0.7560405663307743,0.2402589616721444,0.518174653807183,0.7971974087800707,0.09090832561025354
ENSG00000184163,C1QTNF12,0.02091103888045189,-0.3899208802844649,1,0,0.8367067382348878,1,0.016177400986966975,0.5124482695951276,1,0.03838330768942096,1.420892303989941,0.5580351713222145
ENSG00000160087,UBE2J2,0.49856319014972134,1.070305392760634,0.0006462093449698477,0.4181087813200049,-0.0751174503787464,1,0.17795141085663674,-1.3349413142647293,0.008365673475521177,0.2111081922918153,-1.078573976449609,0.05974678788765478
ENSG00000162572,SCNN1D,0.04952614471685973,-1.358212020557127,0.01409894428279041,0.04181087813200049,0.40607238390502465,1,0.04853220296090093,0.06498929262390662,1,0.24949149998123624,2.391745958330425,0.00025582848886543364
ENSG00000131584,ACAP3,1.0378478770666384,0.5708812320028865,0.01911956155551949,1.087082831432013,0.12931425945202787,1,0.3397254207263065,-1.561626829296092,0.00005835329914189183,0.9403910383908135,-0.08063783136421823,1
ENSG00000169972,PUSL1,0.2586365335213786,0.2165977638031391,0.7374640130783936,0.29267614692400346,0.34346040660534616,1,0.1294192078957358,-0.8694223657485172,0.2018028332315787,0.2878748076706572,0.25670367209677325,0.8817196828305127
ENSG00000127054,INTS11,1.2106390930787936,0.15434503906746289,0.6606698450286411,1.6724351252800196,0.4758375492156548,1,0.630918638491712,-0.9493660003531639,0.008192688588143274,1.362607422974444,0.19360108324065423,0.6635292004639357
ENSG00000224051,CPTP,0.3389789460620622,-0.1683064018306517,0.7280041553759057,0.3344870250560039,0.06666932246303192,1,0.45296722763507535,0.4504825162887347,0.41565125958117827,0.3070664615153677,-0.11474248436764656,1
ENSG00000169962,TAS1R3,0.001100580993707994,-1.7118489751718267,1,0,4.3602686942919,1,0,2.971879888232425,1,0,3.2282472260475457,1
ENSG00000107404,DVL1,0.932192101670671,0.4161586372042443,0.7054598316865784,1.087082831432013,0.2728058530415604,1,0.5500316335568772,-0.7285598299086673,0.7660983481764002,0.6908995384095773,-0.38884789561442,1
